participant_id,trial_num,start_position,rule_change_info,path1_start_stim,path1_middle_stim,path1_end_stim,path2_start_stim,path2_middle_stim,path2_end_stim,path1_final_pain,path2_final_pain,optimal_choice
44,1,1,no,stimuli/violon.png,stimuli/face.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/lunette.png,stimuli/zèbre.png,None,High,path_1
44,2,3,no,stimuli/ciseau.png,stimuli/violon.png,stimuli/face.png,stimuli/zèbre.png,stimuli/banane.png,stimuli/lunette.png,Low,None,path_2
44,3,1,no,stimuli/violon.png,stimuli/face.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/lunette.png,stimuli/zèbre.png,None,High,path_1
44,4,2,no,stimuli/face.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/lunette.png,stimuli/zèbre.png,stimuli/banane.png,High,Low,path_2
44,5,3,no,stimuli/ciseau.png,stimuli/violon.png,stimuli/face.png,stimuli/zèbre.png,stimuli/banane.png,stimuli/lunette.png,Low,None,path_2
44,6,1,no,stimuli/violon.png,stimuli/face.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/lunette.png,stimuli/zèbre.png,None,High,path_1
44,7,3,no,stimuli/ciseau.png,stimuli/violon.png,stimuli/face.png,stimuli/zèbre.png,stimuli/banane.png,stimuli/lunette.png,Low,None,path_2
44,8,3,no,stimuli/ciseau.png,stimuli/violon.png,stimuli/face.png,stimuli/zèbre.png,stimuli/banane.png,stimuli/lunette.png,Low,None,path_2
44,9,3,no,stimuli/ciseau.png,stimuli/violon.png,stimuli/face.png,stimuli/zèbre.png,stimuli/banane.png,stimuli/lunette.png,Low,None,path_2
44,10,3,no,stimuli/ciseau.png,stimuli/violon.png,stimuli/face.png,stimuli/zèbre.png,stimuli/banane.png,stimuli/lunette.png,Low,None,path_2
44,11,2,no,stimuli/face.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/lunette.png,stimuli/zèbre.png,stimuli/banane.png,High,Low,path_2
44,12,1,no,stimuli/violon.png,stimuli/face.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/lunette.png,stimuli/zèbre.png,None,High,path_1
44,13,3,no,stimuli/ciseau.png,stimuli/violon.png,stimuli/face.png,stimuli/zèbre.png,stimuli/banane.png,stimuli/lunette.png,Low,None,path_2
44,14,2,no,stimuli/face.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/lunette.png,stimuli/zèbre.png,stimuli/banane.png,High,Low,path_2
44,15,2,no,stimuli/face.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/lunette.png,stimuli/zèbre.png,stimuli/banane.png,High,Low,path_2
44,16,2,no,stimuli/face.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/lunette.png,stimuli/zèbre.png,stimuli/banane.png,High,Low,path_2
44,17,1,no,stimuli/violon.png,stimuli/face.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/lunette.png,stimuli/zèbre.png,None,High,path_1
44,18,1,no,stimuli/violon.png,stimuli/face.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/lunette.png,stimuli/zèbre.png,None,High,path_1
44,19,3,no,stimuli/ciseau.png,stimuli/violon.png,stimuli/face.png,stimuli/zèbre.png,stimuli/banane.png,stimuli/lunette.png,Low,None,path_2
44,20,2,no,stimuli/face.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/lunette.png,stimuli/zèbre.png,stimuli/banane.png,High,Low,path_2
44,21,2,no,stimuli/face.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/lunette.png,stimuli/zèbre.png,stimuli/banane.png,High,Low,path_2
44,22,3,yes,stimuli/ciseau.png,stimuli/violon.png,stimuli/face.png,stimuli/zèbre.png,stimuli/banane.png,stimuli/lunette.png,None,High,path_1
44,23,3,no,stimuli/ciseau.png,stimuli/violon.png,stimuli/face.png,stimuli/zèbre.png,stimuli/banane.png,stimuli/lunette.png,Low,None,path_2
44,24,1,no,stimuli/violon.png,stimuli/face.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/lunette.png,stimuli/zèbre.png,None,High,path_1
44,25,2,no,stimuli/face.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/lunette.png,stimuli/zèbre.png,stimuli/banane.png,High,Low,path_2
44,26,2,yes,stimuli/face.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/lunette.png,stimuli/zèbre.png,stimuli/banane.png,Low,None,path_2
44,27,1,no,stimuli/violon.png,stimuli/face.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/lunette.png,stimuli/zèbre.png,None,High,path_1
44,28,3,no,stimuli/ciseau.png,stimuli/violon.png,stimuli/face.png,stimuli/zèbre.png,stimuli/banane.png,stimuli/lunette.png,Low,None,path_2
44,29,3,no,stimuli/ciseau.png,stimuli/violon.png,stimuli/face.png,stimuli/zèbre.png,stimuli/banane.png,stimuli/lunette.png,Low,None,path_2
44,30,3,no,stimuli/ciseau.png,stimuli/violon.png,stimuli/face.png,stimuli/zèbre.png,stimuli/banane.png,stimuli/lunette.png,Low,None,path_2
44,31,1,yes,stimuli/violon.png,stimuli/face.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/lunette.png,stimuli/zèbre.png,High,Low,path_2
44,32,3,no,stimuli/ciseau.png,stimuli/violon.png,stimuli/face.png,stimuli/zèbre.png,stimuli/banane.png,stimuli/lunette.png,Low,None,path_2
44,33,1,no,stimuli/violon.png,stimuli/face.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/lunette.png,stimuli/zèbre.png,None,High,path_1
44,34,3,no,stimuli/ciseau.png,stimuli/violon.png,stimuli/face.png,stimuli/zèbre.png,stimuli/banane.png,stimuli/lunette.png,Low,None,path_2
44,35,3,yes,stimuli/ciseau.png,stimuli/violon.png,stimuli/face.png,stimuli/zèbre.png,stimuli/banane.png,stimuli/lunette.png,None,High,path_1
44,36,3,yes,stimuli/ciseau.png,stimuli/violon.png,stimuli/face.png,stimuli/zèbre.png,stimuli/banane.png,stimuli/lunette.png,None,High,path_1
44,37,2,yes,stimuli/face.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/lunette.png,stimuli/zèbre.png,stimuli/banane.png,Low,None,path_2
