participant_id,trial_num,start_position,rule_change_info,path1_start_stim,path1_middle_stim,path1_end_stim,path2_start_stim,path2_middle_stim,path2_end_stim,path1_final_pain,path2_final_pain,optimal_choice
43,1,2,no,stimuli/lunette.png,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/face.png,stimuli/violon.png,stimuli/banane.png,High,Low,path_2
43,2,2,no,stimuli/lunette.png,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/face.png,stimuli/violon.png,stimuli/banane.png,High,Low,path_2
43,3,3,no,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/lunette.png,stimuli/violon.png,stimuli/banane.png,stimuli/face.png,Low,None,path_2
43,4,1,no,stimuli/zèbre.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/face.png,stimuli/violon.png,None,High,path_1
43,5,1,no,stimuli/zèbre.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/face.png,stimuli/violon.png,None,High,path_1
43,6,1,no,stimuli/zèbre.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/face.png,stimuli/violon.png,None,High,path_1
43,7,3,no,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/lunette.png,stimuli/violon.png,stimuli/banane.png,stimuli/face.png,Low,None,path_2
43,8,2,no,stimuli/lunette.png,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/face.png,stimuli/violon.png,stimuli/banane.png,High,Low,path_2
43,9,2,no,stimuli/lunette.png,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/face.png,stimuli/violon.png,stimuli/banane.png,High,Low,path_2
43,10,2,no,stimuli/lunette.png,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/face.png,stimuli/violon.png,stimuli/banane.png,High,Low,path_2
43,11,1,no,stimuli/zèbre.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/face.png,stimuli/violon.png,None,High,path_1
43,12,1,no,stimuli/zèbre.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/face.png,stimuli/violon.png,None,High,path_1
43,13,3,no,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/lunette.png,stimuli/violon.png,stimuli/banane.png,stimuli/face.png,Low,None,path_2
43,14,1,no,stimuli/zèbre.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/face.png,stimuli/violon.png,None,High,path_1
43,15,3,no,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/lunette.png,stimuli/violon.png,stimuli/banane.png,stimuli/face.png,Low,None,path_2
43,16,3,no,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/lunette.png,stimuli/violon.png,stimuli/banane.png,stimuli/face.png,Low,None,path_2
43,17,1,no,stimuli/zèbre.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/face.png,stimuli/violon.png,None,High,path_1
43,18,2,no,stimuli/lunette.png,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/face.png,stimuli/violon.png,stimuli/banane.png,High,Low,path_2
43,19,2,no,stimuli/lunette.png,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/face.png,stimuli/violon.png,stimuli/banane.png,High,Low,path_2
43,20,1,no,stimuli/zèbre.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/face.png,stimuli/violon.png,None,High,path_1
43,21,2,yes,stimuli/lunette.png,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/face.png,stimuli/violon.png,stimuli/banane.png,Low,None,path_2
43,22,2,no,stimuli/lunette.png,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/face.png,stimuli/violon.png,stimuli/banane.png,High,Low,path_2
43,23,1,yes,stimuli/zèbre.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/face.png,stimuli/violon.png,High,Low,path_2
43,24,2,yes,stimuli/lunette.png,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/face.png,stimuli/violon.png,stimuli/banane.png,Low,None,path_2
43,25,2,no,stimuli/lunette.png,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/face.png,stimuli/violon.png,stimuli/banane.png,High,Low,path_2
43,26,1,yes,stimuli/zèbre.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/face.png,stimuli/violon.png,High,Low,path_2
43,27,1,no,stimuli/zèbre.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/face.png,stimuli/violon.png,None,High,path_1
43,28,2,no,stimuli/lunette.png,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/face.png,stimuli/violon.png,stimuli/banane.png,High,Low,path_2
43,29,3,no,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/lunette.png,stimuli/violon.png,stimuli/banane.png,stimuli/face.png,Low,None,path_2
43,30,3,no,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/lunette.png,stimuli/violon.png,stimuli/banane.png,stimuli/face.png,Low,None,path_2
43,31,1,yes,stimuli/zèbre.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/face.png,stimuli/violon.png,High,Low,path_2
43,32,1,no,stimuli/zèbre.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/face.png,stimuli/violon.png,None,High,path_1
43,33,3,yes,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/lunette.png,stimuli/violon.png,stimuli/banane.png,stimuli/face.png,None,High,path_1
43,34,2,yes,stimuli/lunette.png,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/face.png,stimuli/violon.png,stimuli/banane.png,Low,None,path_2
43,35,2,yes,stimuli/lunette.png,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/face.png,stimuli/violon.png,stimuli/banane.png,Low,None,path_2
43,36,2,yes,stimuli/lunette.png,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/face.png,stimuli/violon.png,stimuli/banane.png,Low,None,path_2
43,37,2,no,stimuli/lunette.png,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/face.png,stimuli/violon.png,stimuli/banane.png,High,Low,path_2
43,38,3,no,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/lunette.png,stimuli/violon.png,stimuli/banane.png,stimuli/face.png,Low,None,path_2
43,39,3,yes,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/lunette.png,stimuli/violon.png,stimuli/banane.png,stimuli/face.png,None,High,path_1
43,40,3,yes,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/lunette.png,stimuli/violon.png,stimuli/banane.png,stimuli/face.png,None,High,path_1
43,41,1,yes,stimuli/zèbre.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/face.png,stimuli/violon.png,High,Low,path_2
43,42,2,no,stimuli/lunette.png,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/face.png,stimuli/violon.png,stimuli/banane.png,High,Low,path_2
43,43,3,yes,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/lunette.png,stimuli/violon.png,stimuli/banane.png,stimuli/face.png,None,High,path_1
43,44,2,no,stimuli/lunette.png,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/face.png,stimuli/violon.png,stimuli/banane.png,High,Low,path_2
43,45,1,yes,stimuli/zèbre.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/face.png,stimuli/violon.png,High,Low,path_2
43,46,1,no,stimuli/zèbre.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/face.png,stimuli/violon.png,None,High,path_1
43,47,2,yes,stimuli/lunette.png,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/face.png,stimuli/violon.png,stimuli/banane.png,Low,None,path_2
43,48,1,yes,stimuli/zèbre.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/face.png,stimuli/violon.png,High,Low,path_2
43,49,2,yes,stimuli/lunette.png,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/face.png,stimuli/violon.png,stimuli/banane.png,Low,None,path_2
43,50,1,yes,stimuli/zèbre.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/face.png,stimuli/violon.png,High,Low,path_2
43,51,1,yes,stimuli/zèbre.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/face.png,stimuli/violon.png,High,Low,path_2
43,52,1,no,stimuli/zèbre.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/face.png,stimuli/violon.png,None,High,path_1
43,53,1,no,stimuli/zèbre.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/face.png,stimuli/violon.png,None,High,path_1
43,54,2,yes,stimuli/lunette.png,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/face.png,stimuli/violon.png,stimuli/banane.png,Low,None,path_2
43,55,2,no,stimuli/lunette.png,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/face.png,stimuli/violon.png,stimuli/banane.png,High,Low,path_2
43,56,1,no,stimuli/zèbre.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/face.png,stimuli/violon.png,None,High,path_1
43,57,1,no,stimuli/zèbre.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/face.png,stimuli/violon.png,None,High,path_1
43,58,2,no,stimuli/lunette.png,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/face.png,stimuli/violon.png,stimuli/banane.png,High,Low,path_2
43,59,2,no,stimuli/lunette.png,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/face.png,stimuli/violon.png,stimuli/banane.png,High,Low,path_2
43,60,1,no,stimuli/zèbre.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/face.png,stimuli/violon.png,None,High,path_1
43,61,1,no,stimuli/zèbre.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/face.png,stimuli/violon.png,None,High,path_1
43,62,1,no,stimuli/zèbre.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/face.png,stimuli/violon.png,None,High,path_1
43,63,3,no,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/lunette.png,stimuli/violon.png,stimuli/banane.png,stimuli/face.png,Low,None,path_2
43,64,2,no,stimuli/lunette.png,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/face.png,stimuli/violon.png,stimuli/banane.png,High,Low,path_2
43,65,2,yes,stimuli/lunette.png,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/face.png,stimuli/violon.png,stimuli/banane.png,Low,None,path_2
43,66,1,no,stimuli/zèbre.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/face.png,stimuli/violon.png,None,High,path_1
43,67,1,yes,stimuli/zèbre.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/face.png,stimuli/violon.png,High,Low,path_2
43,68,1,no,stimuli/zèbre.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/face.png,stimuli/violon.png,None,High,path_1
43,69,3,yes,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/lunette.png,stimuli/violon.png,stimuli/banane.png,stimuli/face.png,None,High,path_1
43,70,1,yes,stimuli/zèbre.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/face.png,stimuli/violon.png,High,Low,path_2
43,71,2,yes,stimuli/lunette.png,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/face.png,stimuli/violon.png,stimuli/banane.png,Low,None,path_2
43,72,1,yes,stimuli/zèbre.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/face.png,stimuli/violon.png,High,Low,path_2
43,73,1,no,stimuli/zèbre.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/face.png,stimuli/violon.png,None,High,path_1
43,74,2,yes,stimuli/lunette.png,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/face.png,stimuli/violon.png,stimuli/banane.png,Low,None,path_2
43,75,1,yes,stimuli/zèbre.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/face.png,stimuli/violon.png,High,Low,path_2
43,76,1,yes,stimuli/zèbre.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/face.png,stimuli/violon.png,High,Low,path_2
43,77,1,yes,stimuli/zèbre.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/banane.png,stimuli/face.png,stimuli/violon.png,High,Low,path_2
43,78,3,yes,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/lunette.png,stimuli/violon.png,stimuli/banane.png,stimuli/face.png,None,High,path_1
43,79,2,no,stimuli/lunette.png,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/face.png,stimuli/violon.png,stimuli/banane.png,High,Low,path_2
43,80,3,yes,stimuli/ciseau.png,stimuli/zèbre.png,stimuli/lunette.png,stimuli/violon.png,stimuli/banane.png,stimuli/face.png,None,High,path_1
