participant_id,trial_num,start_position,rule_change_info,path1_start_stim,path1_middle_stim,path1_end_stim,path2_start_stim,path2_middle_stim,path2_end_stim,path1_final_pain,path2_final_pain,optimal_choice
78,1,1,no,stimuli/lunette.png,stimuli/ciseau.png,stimuli/face.png,stimuli/banane.png,stimuli/zèbre.png,stimuli/violon.png,None,High,path_1
78,2,1,no,stimuli/lunette.png,stimuli/ciseau.png,stimuli/face.png,stimuli/banane.png,stimuli/zèbre.png,stimuli/violon.png,None,High,path_1
78,3,3,no,stimuli/face.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/banane.png,stimuli/zèbre.png,Low,None,path_2
78,4,3,no,stimuli/face.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/banane.png,stimuli/zèbre.png,Low,None,path_2
78,5,1,no,stimuli/lunette.png,stimuli/ciseau.png,stimuli/face.png,stimuli/banane.png,stimuli/zèbre.png,stimuli/violon.png,None,High,path_1
78,6,1,no,stimuli/lunette.png,stimuli/ciseau.png,stimuli/face.png,stimuli/banane.png,stimuli/zèbre.png,stimuli/violon.png,None,High,path_1
78,7,2,no,stimuli/ciseau.png,stimuli/face.png,stimuli/lunette.png,stimuli/zèbre.png,stimuli/violon.png,stimuli/banane.png,High,Low,path_2
78,8,3,no,stimuli/face.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/banane.png,stimuli/zèbre.png,Low,None,path_2
78,9,2,no,stimuli/ciseau.png,stimuli/face.png,stimuli/lunette.png,stimuli/zèbre.png,stimuli/violon.png,stimuli/banane.png,High,Low,path_2
78,10,3,no,stimuli/face.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/banane.png,stimuli/zèbre.png,Low,None,path_2
78,11,1,no,stimuli/lunette.png,stimuli/ciseau.png,stimuli/face.png,stimuli/banane.png,stimuli/zèbre.png,stimuli/violon.png,None,High,path_1
78,12,2,no,stimuli/ciseau.png,stimuli/face.png,stimuli/lunette.png,stimuli/zèbre.png,stimuli/violon.png,stimuli/banane.png,High,Low,path_2
78,13,1,no,stimuli/lunette.png,stimuli/ciseau.png,stimuli/face.png,stimuli/banane.png,stimuli/zèbre.png,stimuli/violon.png,None,High,path_1
78,14,1,no,stimuli/lunette.png,stimuli/ciseau.png,stimuli/face.png,stimuli/banane.png,stimuli/zèbre.png,stimuli/violon.png,None,High,path_1
78,15,3,no,stimuli/face.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/banane.png,stimuli/zèbre.png,Low,None,path_2
78,16,3,no,stimuli/face.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/banane.png,stimuli/zèbre.png,Low,None,path_2
78,17,3,no,stimuli/face.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/banane.png,stimuli/zèbre.png,Low,None,path_2
78,18,3,no,stimuli/face.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/banane.png,stimuli/zèbre.png,Low,None,path_2
78,19,1,no,stimuli/lunette.png,stimuli/ciseau.png,stimuli/face.png,stimuli/banane.png,stimuli/zèbre.png,stimuli/violon.png,None,High,path_1
78,20,3,no,stimuli/face.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/banane.png,stimuli/zèbre.png,Low,None,path_2
78,21,3,yes,stimuli/face.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/banane.png,stimuli/zèbre.png,None,High,path_1
78,22,1,no,stimuli/lunette.png,stimuli/ciseau.png,stimuli/face.png,stimuli/banane.png,stimuli/zèbre.png,stimuli/violon.png,None,High,path_1
78,23,1,no,stimuli/lunette.png,stimuli/ciseau.png,stimuli/face.png,stimuli/banane.png,stimuli/zèbre.png,stimuli/violon.png,None,High,path_1
78,24,2,yes,stimuli/ciseau.png,stimuli/face.png,stimuli/lunette.png,stimuli/zèbre.png,stimuli/violon.png,stimuli/banane.png,Low,None,path_2
78,25,3,no,stimuli/face.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/banane.png,stimuli/zèbre.png,Low,None,path_2
78,26,1,no,stimuli/lunette.png,stimuli/ciseau.png,stimuli/face.png,stimuli/banane.png,stimuli/zèbre.png,stimuli/violon.png,None,High,path_1
78,27,3,yes,stimuli/face.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/banane.png,stimuli/zèbre.png,None,High,path_1
78,28,3,yes,stimuli/face.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/banane.png,stimuli/zèbre.png,None,High,path_1
78,29,1,no,stimuli/lunette.png,stimuli/ciseau.png,stimuli/face.png,stimuli/banane.png,stimuli/zèbre.png,stimuli/violon.png,None,High,path_1
78,30,1,no,stimuli/lunette.png,stimuli/ciseau.png,stimuli/face.png,stimuli/banane.png,stimuli/zèbre.png,stimuli/violon.png,None,High,path_1
78,31,3,no,stimuli/face.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/banane.png,stimuli/zèbre.png,Low,None,path_2
78,32,3,yes,stimuli/face.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/banane.png,stimuli/zèbre.png,None,High,path_1
78,33,3,yes,stimuli/face.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/banane.png,stimuli/zèbre.png,None,High,path_1
78,34,1,yes,stimuli/lunette.png,stimuli/ciseau.png,stimuli/face.png,stimuli/banane.png,stimuli/zèbre.png,stimuli/violon.png,High,Low,path_2
78,35,2,yes,stimuli/ciseau.png,stimuli/face.png,stimuli/lunette.png,stimuli/zèbre.png,stimuli/violon.png,stimuli/banane.png,Low,None,path_2
78,36,3,yes,stimuli/face.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/banane.png,stimuli/zèbre.png,None,High,path_1
78,37,3,yes,stimuli/face.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/banane.png,stimuli/zèbre.png,None,High,path_1
78,38,1,no,stimuli/lunette.png,stimuli/ciseau.png,stimuli/face.png,stimuli/banane.png,stimuli/zèbre.png,stimuli/violon.png,None,High,path_1
78,39,3,no,stimuli/face.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/banane.png,stimuli/zèbre.png,Low,None,path_2
78,40,1,yes,stimuli/lunette.png,stimuli/ciseau.png,stimuli/face.png,stimuli/banane.png,stimuli/zèbre.png,stimuli/violon.png,High,Low,path_2
78,41,3,no,stimuli/face.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/banane.png,stimuli/zèbre.png,Low,None,path_2
78,42,3,yes,stimuli/face.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/banane.png,stimuli/zèbre.png,None,High,path_1
78,43,3,no,stimuli/face.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/banane.png,stimuli/zèbre.png,Low,None,path_2
78,44,3,yes,stimuli/face.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/banane.png,stimuli/zèbre.png,None,High,path_1
78,45,1,yes,stimuli/lunette.png,stimuli/ciseau.png,stimuli/face.png,stimuli/banane.png,stimuli/zèbre.png,stimuli/violon.png,High,Low,path_2
78,46,3,no,stimuli/face.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/banane.png,stimuli/zèbre.png,Low,None,path_2
78,47,2,yes,stimuli/ciseau.png,stimuli/face.png,stimuli/lunette.png,stimuli/zèbre.png,stimuli/violon.png,stimuli/banane.png,Low,None,path_2
78,48,1,yes,stimuli/lunette.png,stimuli/ciseau.png,stimuli/face.png,stimuli/banane.png,stimuli/zèbre.png,stimuli/violon.png,High,Low,path_2
78,49,2,yes,stimuli/ciseau.png,stimuli/face.png,stimuli/lunette.png,stimuli/zèbre.png,stimuli/violon.png,stimuli/banane.png,Low,None,path_2
78,50,3,no,stimuli/face.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/banane.png,stimuli/zèbre.png,Low,None,path_2
78,51,3,no,stimuli/face.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/banane.png,stimuli/zèbre.png,Low,None,path_2
78,52,3,no,stimuli/face.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/banane.png,stimuli/zèbre.png,Low,None,path_2
78,53,2,yes,stimuli/ciseau.png,stimuli/face.png,stimuli/lunette.png,stimuli/zèbre.png,stimuli/violon.png,stimuli/banane.png,Low,None,path_2
78,54,1,no,stimuli/lunette.png,stimuli/ciseau.png,stimuli/face.png,stimuli/banane.png,stimuli/zèbre.png,stimuli/violon.png,None,High,path_1
78,55,3,no,stimuli/face.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/banane.png,stimuli/zèbre.png,Low,None,path_2
78,56,1,yes,stimuli/lunette.png,stimuli/ciseau.png,stimuli/face.png,stimuli/banane.png,stimuli/zèbre.png,stimuli/violon.png,High,Low,path_2
78,57,2,no,stimuli/ciseau.png,stimuli/face.png,stimuli/lunette.png,stimuli/zèbre.png,stimuli/violon.png,stimuli/banane.png,High,Low,path_2
78,58,3,no,stimuli/face.png,stimuli/lunette.png,stimuli/ciseau.png,stimuli/violon.png,stimuli/banane.png,stimuli/zèbre.png,Low,None,path_2
78,59,1,no,stimuli/lunette.png,stimuli/ciseau.png,stimuli/face.png,stimuli/banane.png,stimuli/zèbre.png,stimuli/violon.png,None,High,path_1
78,60,1,yes,stimuli/lunette.png,stimuli/ciseau.png,stimuli/face.png,stimuli/banane.png,stimuli/zèbre.png,stimuli/violon.png,High,Low,path_2
